STNAME,CTYNAME,POPESTIMATE2018,POPESTIMATE2019,INTERNATIONALMIG2018,DOMESTICMIG2018,NETMIG2018
Vermont,Windham County,42635,42222,15,-133,-118
Vermont,Windsor County,55204,55062,35,29,64
Virginia,Virginia,8501286,8535519,15990,-9317,6673
Virginia,Accomack County,32581,32316,29,-78,-49
Virginia,Albemarle County,108377,109330,131,312,443
Virginia,Alleghany County,14986,14860,-5,-72,-77
Virginia,Amelia County,13057,13145,1,75,76
Virginia,Amherst County,31684,31605,1,-135,-134
Virginia,Appomattox County,15881,15911,9,133,142
Virginia,Arlington County,236025,236842,1178,-1897,-719
Virginia,Augusta County,75535,75558,29,505,534
Virginia,Bath County,4253,4147,-1,14,13
Virginia,Bedford County,78882,78997,19,682,701
Virginia,Bland County,6303,6280,-2,-16,-18
Virginia,Botetourt County,33352,33419,4,161,165
Virginia,Brunswick County,16336,16231,5,-158,-153
Virginia,Buchanan County,21369,21004,12,-137,-125
Virginia,Buckingham County,17043,17148,1,27,28
Virginia,Campbell County,55137,54885,33,-103,-70
Virginia,Caroline County,30751,30725,5,253,258
Virginia,Carroll County,29741,29791,16,49,65
Virginia,Charles City County,7000,6963,1,-3,-2
Virginia,Charlotte County,11944,11880,4,-102,-98
Virginia,Chesterfield County,348281,352802,349,3443,3792
Virginia,Clarke County,14511,14619,2,95,97
Virginia,Craig County,5102,5131,-1,36,35
Virginia,Culpeper County,51795,52605,56,316,372
Virginia,Cumberland County,9857,9932,0,33,33
Virginia,Dickenson County,14526,14318,-1,-116,-117
Virginia,Dinwiddie County,28633,28544,16,104,120
Virginia,Essex County,10896,10953,5,-77,-72
Virginia,Fairfax County,1148463,1147532,5260,-14299,-9039
Virginia,Fauquier County,70642,71222,32,944,976
Virginia,Floyd County,15790,15749,-5,33,28
Virginia,Fluvanna County,26898,27270,4,346,350
Virginia,Franklin County,56191,56042,-15,44,29
Virginia,Frederick County,88173,89313,101,1410,1511
Virginia,Giles County,16799,16720,-1,118,117
Virginia,Gloucester County,37341,37348,-7,129,122
Virginia,Goochland County,23219,23753,-3,571,568
Virginia,Grayson County,15635,15550,-2,34,32
Virginia,Greene County,19692,19819,14,-1,13
Virginia,Greensville County,11432,11336,2,-112,-110
Virginia,Halifax County,34181,33911,-6,-257,-263
Virginia,Hanover County,106886,107766,28,1187,1215
Virginia,Henrico County,328993,330818,976,-554,422
Virginia,Henry County,51050,50557,0,14,14
Virginia,Highland County,2208,2190,0,3,3
Virginia,Isle of Wight County,36972,37109,16,373,389
Virginia,James City County,76033,76523,86,780,866
Virginia,King and Queen County,7045,7025,1,70,71
Virginia,King George County,26612,26836,31,129,160
Virginia,King William County,16919,17148,1,163,164
Virginia,Lancaster County,10696,10603,25,80,105
Virginia,Lee County,23656,23423,-7,-123,-130
Virginia,Loudoun County,405522,413538,1174,3794,4968
Virginia,Louisa County,36784,37591,0,865,865
Virginia,Lunenburg County,12215,12196,8,-90,-82
Virginia,Madison County,13248,13261,11,15,26
Virginia,Mathews County,8792,8834,1,130,131
Virginia,Mecklenburg County,30624,30587,-2,111,109
Virginia,Middlesex County,10733,10582,1,170,171
Virginia,Montgomery County,98532,98535,274,-64,210
Virginia,Nelson County,14862,14930,-2,69,67
Virginia,New Kent County,22317,23091,0,600,600
Virginia,Northampton County,11761,11710,5,-71,-66
Virginia,Northumberland County,12168,12095,0,-28,-28
Virginia,Nottoway County,15400,15232,0,4,4
Virginia,Orange County,36598,37051,15,621,636
Virginia,Page County,23972,23902,1,236,237
Virginia,Patrick County,17663,17608,-1,57,56
Virginia,Pittsylvania County,60901,60354,0,-153,-153
Virginia,Powhatan County,29210,29652,-2,495,493
Virginia,Prince Edward County,22906,22802,28,228,256
Virginia,Prince George County,37993,38353,5,-120,-115
Virginia,Prince William County,466235,470335,1376,-2702,-1326
Virginia,Pulaski County,34060,34027,-3,0,-3
Virginia,Rappahannock County,7345,7370,3,-38,-35
Virginia,Richmond County,8970,9023,5,112,117
Virginia,Roanoke County,94086,94186,113,377,490
Virginia,Rockbridge County,22761,22573,3,221,224
Virginia,Rockingham County,81261,81948,41,735,776
Virginia,Russell County,26795,26586,0,-145,-145
Virginia,Scott County,21672,21566,-1,-92,-93
Virginia,Shenandoah County,43473,43616,45,170,215
Virginia,Smyth County,30454,30104,-2,-71,-73
Virginia,Southampton County,17713,17631,0,-53,-53
Virginia,Spotsylvania County,134011,136215,44,739,783
Virginia,Stafford County,149824,152882,91,1995,2086
Virginia,Surry County,6463,6422,0,-42,-42
Virginia,Sussex County,11241,11159,2,-110,-108
Virginia,Tazewell County,41058,40595,-9,-44,-53
Virginia,Warren County,40006,40164,2,546,548
Virginia,Washington County,54067,53740,-7,120,113
Virginia,Westmoreland County,17817,18015,-6,136,130
Virginia,Wise County,37875,37383,2,-544,-542
Virginia,Wythe County,28698,28684,-8,-25,-33
Virginia,York County,67976,68280,75,-278,-203
Virginia,Alexandria city,159069,159428,1303,-3355,-2052
Virginia,Bristol city,16685,16762,-8,-64,-72
Virginia,Buena Vista city,6494,6478,-5,-4,-9
Virginia,Charlottesville city,47506,47266,181,-480,-299
Virginia,Chesapeake city,242359,244835,127,1040,1167
Virginia,Colonial Heights city,17504,17370,9,36,45
Virginia,Covington city,5578,5538,6,43,49
Virginia,Danville city,40649,40044,24,-165,-141
Virginia,Emporia city,5363,5346,-4,-104,-108
Virginia,Fairfax city,23725,24019,137,-264,-127
Virginia,Falls Church city,14467,14617,22,71,93
Virginia,Franklin city,8089,7967,-1,-91,-92
Virginia,Fredericksburg city,29171,29036,63,348,411
Virginia,Galax city,6348,6347,-5,-32,-37
Virginia,Hampton city,134330,134510,42,-824,-782
Virginia,Harrisonburg city,53488,53016,321,-775,-454
Virginia,Hopewell city,22478,22529,33,-94,-61
Virginia,Lexington city,7297,7446,0,94,94
Virginia,Lynchburg city,81309,82168,217,197,414
Virginia,Manassas city,41046,41085,101,-709,-608
Virginia,Manassas Park city,17718,17478,98,466,564
Virginia,Martinsville city,12627,12554,10,-88,-78
Virginia,Newport News city,178523,179225,161,-2205,-2044
Virginia,Norfolk city,243585,242742,101,-2362,-2261
Virginia,Norton city,3972,3981,1,67,68
Virginia,Petersburg city,31056,31346,27,-297,-270
Virginia,Poquoson city,12169,12271,-1,149,148
Virginia,Portsmouth city,94750,94398,59,-449,-390
Virginia,Radford city,18101,18249,11,564,575
Virginia,Richmond city,229221,230436,458,326,784
Virginia,Roanoke city,99009,99143,234,-267,-33
Virginia,Salem city,25293,25301,12,-32,-20
Virginia,Staunton city,24562,24932,22,241,263
Virginia,Suffolk city,90975,92108,36,492,528
Virginia,Virginia Beach city,449849,449974,255,-2676,-2421
Virginia,Waynesboro city,22531,22630,53,116,169
Virginia,Williamsburg city,15002,14954,41,-64,-23
Virginia,Winchester city,27962,28078,140,-468,-328
Washington,Washington,7523869,7614893,23609,47153,70762
Washington,Adams County,19736,19983,22,-246,-224
Washington,Asotin County,22616,22582,-27,163,136
Washington,Benton County,201286,204390,250,1735,1985
Washington,Chelan County,76752,77200,6,276,282
Washington,Clallam County,76551,77331,41,1290,1331
Washington,Clark County,481427,488241,128,4978,5106
Washington,Columbia County,4039,3985,15,26,41
Washington,Cowlitz County,108752,110593,22,1885,1907
Washington,Douglas County,42749,43429,39,420,459
Washington,Ferry County,7638,7627,0,65,65
Washington,Franklin County,94003,95222,55,883,938
Washington,Garfield County,2240,2225,5,36,41
Washington,Grant County,96672,97733,88,448,536
Washington,Grays Harbor County,73801,75061,-16,1457,1441
Washington,Island County,84227,85141,-77,943,866
Washington,Jefferson County,31746,32221,5,728,733
Washington,King County,2228364,2252782,17839,-4845,12994
Washington,Kitsap County,269276,271473,-8,2230,2222
Washington,Kittitas County,47358,47935,80,998,1078
Washington,Klickitat County,22136,22425,-4,364,360
Washington,Lewis County,79569,80707,64,1246,1310
Washington,Lincoln County,10726,10939,1,172,173
Washington,Mason County,65380,66768,130,1537,1667
Washington,Okanogan County,42117,42243,56,115,171
Washington,Pacific County,22074,22471,32,478,510
Washington,Pend Oreille County,13586,13724,6,273,279
Washington,Pierce County,893756,904980,918,8883,9801
Washington,San Juan County,17124,17582,24,418,442
Washington,Skagit County,127835,129205,171,1655,1826
Washington,Skamania County,11919,12083,4,72,76
Washington,Snohomish County,813059,822083,2239,4576,6815
Washington,Spokane County,513603,522798,492,6550,7042
Washington,Stevens County,45224,45723,-3,621,618
Washington,Thurston County,286056,290536,363,4659,5022
Washington,Wahkiakum County,4415,4488,4,158,162
Washington,Walla Walla County,60615,60760,-13,96,83
Washington,Whatcom County,225197,229247,414,2833,3247
Washington,Whitman County,49683,50104,391,-200,191
Washington,Yakima County,250562,250873,-147,-823,-970
West Virginia,West Virginia,1804291,1792147,-132,-7987,-8119
West Virginia,Barbour County,16487,16441,-4,15,11
West Virginia,Berkeley County,117236,119171,-22,1879,1857
West Virginia,Boone County,21953,21457,0,-344,-344
West Virginia,Braxton County,14076,13957,1,-98,-97
West Virginia,Brooke County,22129,21939,-12,-132,-144
West Virginia,Cabell County,93035,91945,-23,-1226,-1249
West Virginia,Calhoun County,7217,7109,-2,-52,-54
West Virginia,Clay County,8639,8508,0,-52,-52
West Virginia,Doddridge County,8556,8448,-3,65,62
West Virginia,Fayette County,42982,42406,4,-357,-353
West Virginia,Gilmer County,7898,7823,-2,-110,-112
West Virginia,Grant County,11630,11568,-1,-13,-14
West Virginia,Greenbrier County,34792,34662,16,-324,-308
West Virginia,Hampshire County,23357,23175,-8,21,13
West Virginia,Hancock County,29079,28810,-12,-114,-126
West Virginia,Hardy County,13764,13776,19,-104,-85
West Virginia,Harrison County,67494,67256,-4,-234,-238
West Virginia,Jackson County,28695,28576,-1,-122,-123
West Virginia,Jefferson County,56890,57146,-27,413,386
West Virginia,Kanawha County,180410,178124,-17,-2262,-2279
West Virginia,Lewis County,16017,15907,4,-99,-95
West Virginia,Lincoln County,20583,20409,-6,-199,-205
West Virginia,Logan County,32609,32019,2,-264,-262
West Virginia,McDowell County,18221,17624,-2,-166,-168
West Virginia,Marion County,56091,56072,-17,-152,-169
West Virginia,Marshall County,30821,30531,0,-311,-311
West Virginia,Mason County,26752,26516,-3,18,15
West Virginia,Mercer County,59202,58758,-9,-392,-401
West Virginia,Mineral County,26953,26868,-4,-193,-197
West Virginia,Mingo County,23851,23424,-2,-239,-241
West Virginia,Monongalia County,105651,105612,-16,-505,-521
West Virginia,Monroe County,13289,13275,-1,-40,-41
West Virginia,Morgan County,17830,17884,-8,185,177
West Virginia,Nicholas County,24835,24496,2,-202,-200
West Virginia,Ohio County,41705,41411,-15,-116,-131
West Virginia,Pendleton County,6984,6969,-1,40,39
West Virginia,Pleasants County,7505,7460,-1,77,76
West Virginia,Pocahontas County,8408,8247,0,-41,-41
West Virginia,Preston County,33553,33432,84,-292,-208
West Virginia,Putnam County,56642,56450,0,95,95
West Virginia,Raleigh County,74172,73361,-5,-580,-585
West Virginia,Randolph County,28814,28695,-2,-14,-16
West Virginia,Ritchie County,9748,9554,1,-38,-37
West Virginia,Roane County,13918,13688,0,-13,-13
West Virginia,Summers County,12672,12573,-1,-125,-126
West Virginia,Taylor County,16828,16695,-2,-9,-11
West Virginia,Tucker County,6937,6839,0,-17,-17
West Virginia,Tyler County,8740,8591,-2,-38,-40
West Virginia,Upshur County,24372,24176,-2,-102,-104
West Virginia,Wayne County,39961,39402,-4,-53,-57
West Virginia,Webster County,8274,8114,0,-30,-30
West Virginia,Wetzel County,15259,15065,0,-72,-72
West Virginia,Wirt County,5811,5821,0,39,39
West Virginia,Wood County,84180,83518,-24,-682,-706
West Virginia,Wyoming County,20784,20394,0,-306,-306
Wisconsin,Wisconsin,5807406,5822434,5296,-871,4425
Wisconsin,Adams County,20341,20220,8,581,589
Wisconsin,Ashland County,15587,15562,4,80,84
Wisconsin,Barron County,45150,45244,12,-14,-2
Wisconsin,Bayfield County,15026,15036,2,55,57
Wisconsin,Brown County,263165,264542,388,-309,79
Wisconsin,Buffalo County,13114,13031,9,16,25
Wisconsin,Burnett County,15374,15414,1,131,132
Wisconsin,Calumet County,50132,50089,13,23,36
Wisconsin,Chippewa County,64109,64658,-1,272,271
Wisconsin,Clark County,34705,34774,23,-118,-95
Wisconsin,Columbia County,57333,57532,14,18,32
Wisconsin,Crawford County,16265,16131,3,79,82
Wisconsin,Dane County,541948,546695,1029,1119,2148
Wisconsin,Dodge County,87833,87839,26,187,213
Wisconsin,Door County,27589,27668,0,262,262
Wisconsin,Douglas County,43143,43150,-13,-153,-166
Wisconsin,Dunn County,45091,45368,15,277,292
Wisconsin,Eau Claire County,104355,104646,95,324,419
Wisconsin,Florence County,4294,4295,-2,-12,-14
Wisconsin,Fond du Lac County,103001,103403,88,441,529
Wisconsin,Forest County,8977,9004,0,23,23
Wisconsin,Grant County,51444,51439,10,-394,-384
Wisconsin,Green County,36924,36960,15,30,45
Wisconsin,Green Lake County,18849,18913,-2,146,144
Wisconsin,Iowa County,23722,23678,3,-31,-28
Wisconsin,Iron County,5687,5687,0,60,60
Wisconsin,Jackson County,20472,20643,6,-27,-21
Wisconsin,Jefferson County,85049,84769,27,188,215
Wisconsin,Juneau County,26593,26687,4,126,130
Wisconsin,Kenosha County,168926,169561,29,47,76
Wisconsin,Kewaunee County,20395,20434,28,-33,-5
Wisconsin,La Crosse County,118041,118016,-12,-115,-127
Wisconsin,Lafayette County,16672,16665,6,-78,-72
Wisconsin,Langlade County,19236,19189,10,94,104
Wisconsin,Lincoln County,27673,27593,0,-47,-47
Wisconsin,Manitowoc County,79015,78981,67,-63,4
Wisconsin,Marathon County,135421,135692,74,-433,-359
Wisconsin,Marinette County,40402,40350,13,259,272
Wisconsin,Marquette County,15418,15574,1,183,184
Wisconsin,Menominee County,4595,4556,0,-25,-25
Wisconsin,Milwaukee County,946969,945726,2166,-10217,-8051
Wisconsin,Monroe County,46141,46253,43,289,332
Wisconsin,Oconto County,37824,37930,12,324,336
Wisconsin,Oneida County,35444,35595,1,345,346
Wisconsin,Outagamie County,186879,187885,111,147,258
Wisconsin,Ozaukee County,89059,89221,32,603,635
Wisconsin,Pepin County,7304,7287,6,38,44
Wisconsin,Pierce County,42592,42754,35,456,491
Wisconsin,Polk County,43568,43783,4,247,251
Wisconsin,Portage County,70850,70772,52,43,95
Wisconsin,Price County,13357,13351,3,13,16
Wisconsin,Racine County,196357,196311,111,-110,1
Wisconsin,Richland County,17397,17252,15,-108,-93
Wisconsin,Rock County,162874,163354,46,257,303
Wisconsin,Rusk County,14110,14178,12,-38,-26
Wisconsin,St. Croix County,89688,90687,44,684,728
Wisconsin,Sauk County,64318,64442,97,132,229
Wisconsin,Sawyer County,16464,16558,3,132,135
Wisconsin,Shawano County,40771,40899,11,-120,-109
Wisconsin,Sheboygan County,115233,115340,43,-31,12
Wisconsin,Taylor County,20364,20343,10,26,36
Wisconsin,Trempealeau County,29494,29649,55,-80,-25
Wisconsin,Vernon County,30772,30822,0,-56,-56
Wisconsin,Vilas County,21928,22195,10,323,333
Wisconsin,Walworth County,103550,103868,-10,730,720
Wisconsin,Washburn County,15837,15720,3,158,161
Wisconsin,Washington County,135445,136034,22,417,439
Wisconsin,Waukesha County,402522,404198,199,1062,1261
Wisconsin,Waupaca County,51130,50990,18,216,234
Wisconsin,Waushara County,24267,24443,15,124,139
Wisconsin,Winnebago County,170878,171907,118,100,218
Wisconsin,Wood County,72954,72999,16,-146,-130
Wyoming,Wyoming,577601,578759,516,-3827,-3311
Wyoming,Albany County,38728,38880,257,-148,109
Wyoming,Big Horn County,11877,11790,2,11,13
Wyoming,Campbell County,46299,46341,52,-497,-445
Wyoming,Carbon County,14879,14800,7,-436,-429
Wyoming,Converse County,13658,13822,5,-127,-122
Wyoming,Crook County,7445,7584,20,-31,-11
Wyoming,Fremont County,39561,39261,-4,-330,-334
Wyoming,Goshen County,13292,13211,6,-59,-53
Wyoming,Hot Springs County,4568,4413,1,-100,-99
Wyoming,Johnson County,8446,8445,2,31,33
Wyoming,Laramie County,98865,99500,-42,103,61
Wyoming,Lincoln County,19445,19830,0,75,75
Wyoming,Natrona County,79175,79858,102,-802,-700
Wyoming,Niobrara County,2400,2356,0,-7,-7
Wyoming,Park County,29210,29194,-9,32,23
Wyoming,Platte County,8516,8393,-10,18,8
Wyoming,Sheridan County,30219,30485,13,98,111
Wyoming,Sublette County,9798,9831,-8,24,16
Wyoming,Sweetwater County,42858,42343,22,-831,-809
Wyoming,Teton County,23269,23464,88,-378,-290
Wyoming,Uinta County,20292,20226,0,-276,-276
Wyoming,Washakie County,7877,7805,-5,-132,-137
Wyoming,Weston County,6924,6927,17,-65,-48
