fips,County,State,Total_Confirmed,Total_Deaths
17059.0,Gallatin,Illinois,150513.0,1693.0
17081.0,Jefferson,Illinois,1360795.0,40656.0
17185.0,Wabash,Illinois,432497.0,4779.0
17029.0,Coles,Illinois,1851238.0,33696.0
17101.0,Lawrence,Illinois,737374.0,10397.0
17159.0,Richland,Illinois,548393.0,15208.0
17173.0,Shelby,Illinois,735418.0,12781.0
17067.0,Hancock,Illinois,567691.0,11984.0
17175.0,Stark,Illinois,186372.0,6880.0
17153.0,Pulaski,Illinois,238989.0,2033.0
17169.0,Schuyler,Illinois,227987.0,5086.0
17057.0,Fulton,Illinois,1094447.0,17386.0
17061.0,Greene,Illinois,465966.0,14813.0
17109.0,McDonough,Illinois,878255.0,20432.0
17145.0,Perry,Illinois,970131.0,21364.0
17187.0,Warren,Illinois,590604.0,14947.0
17087.0,Johnson,Illinois,462127.0,5988.0
17025.0,Clay,Illinois,485213.0,14199.0
17181.0,Union,Illinois,764110.0,16549.0
17003.0,Alexander,Illinois,153252.0,2977.0
17071.0,Henderson,Illinois,164787.0,5976.0
17191.0,Wayne,Illinois,575850.0,16359.0
17065.0,Hamilton,Illinois,263307.0,5312.0
17017.0,Cass,Illinois,646523.0,11725.0
17193.0,White,Illinois,526690.0,10286.0
17069.0,Hardin,Illinois,116235.0,3241.0
17009.0,Brown,Illinois,223724.0,3563.0
17151.0,Pope,Illinois,96142.0,1078.0
17047.0,Edwards,Illinois,182188.0,3529.0
17155.0,Putnam,Illinois,141170.0,1033.0
17045.0,Edgar,Illinois,525620.0,17555.0
17171.0,Scott,Illinois,153111.0,393.0
6059.0,Orange,California,84170153.0,1448767.0
6037.0,Los Angeles,California,391799790.0,7376317.0
6085.0,Santa Clara,California,36069877.0,573454.0
6075.0,San Francisco,California,12484640.0,155063.0
6073.0,San Diego,California,86831710.0,1099957.0
6023.0,Humboldt,California,1292436.0,13691.0
6067.0,Sacramento,California,33346791.0,514736.0
6095.0,Solano,California,10287233.0,73230.0
6041.0,Marin,California,5016814.0,78132.0
6055.0,Napa,California,3005821.0,22994.0
6097.0,Sonoma,California,9731421.0,103597.0
6001.0,Alameda,California,28133293.0,420475.0
6061.0,Placer,California,7211147.0,83312.0
6081.0,San Mateo,California,13315695.0,176309.0
6013.0,Contra Costa,California,22117773.0,241840.0
6113.0,Yolo,California,4393766.0,65893.0
6019.0,Fresno,California,33308231.0,487975.0
6039.0,Madera,California,5323882.0,72476.0
6065.0,Riverside,California,93513434.0,1366596.0
6087.0,Santa Cruz,California,4831558.0,55497.0
6089.0,Shasta,California,3897463.0,61759.0
6077.0,San Joaquin,California,23677474.0,420187.0
6111.0,Ventura,California,24363115.0,276289.0
6099.0,Stanislaus,California,19750252.0,332431.0
6107.0,Tulare,California,17264160.0,264174.0
6069.0,San Benito,California,1873766.0,18416.0
6079.0,San Luis Obispo,California,6475922.0,70858.0
6071.0,San Bernardino,California,92224944.0,1294866.0
6083.0,Santa Barbara,California,10931327.0,133537.0
6057.0,Nevada,California,1487310.0,22136.0
6029.0,Kern,California,35168612.0,385180.0
6053.0,Monterey,California,13630286.0,124665.0
6045.0,Mendocino,California,1356737.0,16076.0
6005.0,Amador,California,1087283.0,14334.0
6025.0,Imperial,California,10285109.0,240008.0
6007.0,Butte,California,4031382.0,56848.0
6017.0,El Dorado,California,3128157.0,28678.0
6093.0,Siskiyou,California,671609.0,7594.0
6115.0,Yuba,California,1996225.0,13625.0
6009.0,Calaveras,California,654898.0,15383.0
6047.0,Merced,California,10071172.0,143359.0
6051.0,Mono,California,395115.0,1614.0
6027.0,Inyo,California,401792.0,11855.0
6101.0,Sutter,California,2984585.0,32333.0
6011.0,Colusa,California,706079.0,5137.0
6031.0,Kings,California,7811913.0,76703.0
6021.0,Glenn,California,898098.0,7576.0
6109.0,Tuolumne,California,1264568.0,18836.0
6003.0,Alpine,California,25788.0,0.0
6063.0,Plumas,California,215439.0,1493.0
6015.0,Del Norte,California,454247.0,2689.0
6103.0,Tehama,California,1575633.0,17556.0
6033.0,Lake,California,1109064.0,15517.0
6043.0,Mariposa,California,150744.0,2359.0
6105.0,Trinity,California,110806.0,1069.0
6091.0,Sierra,California,19008.0,0.0
6035.0,Lassen,California,1776883.0,6509.0
6049.0,Modoc,California,149412.0,1330.0
4013.0,Maricopa,Arizona,176225426.0,3179433.0
4021.0,Pinal,Arizona,16162330.0,262883.0
4019.0,Pima,Arizona,36047986.0,733620.0
4009.0,Graham,Arizona,1699353.0,25931.0
4017.0,Navajo,Arizona,5696725.0,186336.0
4005.0,Coconino,Arizona,5692805.0,116933.0
4023.0,Santa Cruz,Arizona,2750234.0,57706.0
4025.0,Yavapai,Arizona,5843656.0,149016.0
4027.0,Yuma,Arizona,12639400.0,279167.0
4001.0,Apache,Arizona,3814721.0,141420.0
4003.0,Cochise,Arizona,3642723.0,86425.0
4012.0,La Paz,Arizona,785379.0,22977.0
4015.0,Mohave,Arizona,7090637.0,230873.0
4007.0,Gila,Arizona,2184867.0,70733.0
4011.0,Greenlee,Arizona,181853.0,2990.0
25025.0,Suffolk,Massachusetts,29998258.0,745623.0
25021.0,Norfolk,Massachusetts,16655826.0,713003.0
25017.0,Middlesex,Massachusetts,41787923.0,1475914.0
25003.0,Berkshire,Massachusetts,1839495.0,86366.0
25027.0,Worcester,Massachusetts,23591659.0,827832.0
25009.0,Essex,Massachusetts,30361286.0,914063.0
25001.0,Barnstable,Massachusetts,3901749.0,157122.0
25005.0,Bristol,Massachusetts,19724564.0,599959.0
25013.0,Hampden,Massachusetts,15420413.0,574591.0
25023.0,Plymouth,Massachusetts,14964148.0,550266.0
25011.0,Franklin,Massachusetts,756999.0,45424.0
25015.0,Hampshire,Massachusetts,2608522.0,107845.0
25019.0,Nantucket,Massachusetts,418343.0,408.0
25007.0,Dukes,Massachusetts,354542.0,58.0
55025.0,Dane,Wisconsin,14763883.0,97999.0
55093.0,Pierce,Wisconsin,1485039.0,12960.0
55039.0,Fond du Lac,Wisconsin,4404078.0,37669.0
55133.0,Waukesha,Wisconsin,15409385.0,180981.0
55079.0,Milwaukee,Wisconsin,39051643.0,489553.0
55101.0,Racine,Wisconsin,8227758.0,124483.0
55117.0,Sheboygan,Wisconsin,4647381.0,46107.0
55139.0,Winnebago,Wisconsin,6893205.0,68695.0
55087.0,Outagamie,Wisconsin,7517424.0,71039.0
55141.0,Wood,Wisconsin,2371507.0,28326.0
55059.0,Kenosha,Wisconsin,5998211.0,104908.0
55009.0,Brown,Wisconsin,11746808.0,91932.0
55063.0,La Crosse,Wisconsin,4339534.0,25531.0
55131.0,Washington,Wisconsin,5302526.0,54101.0
55007.0,Bayfield,Wisconsin,384575.0,6163.0
55015.0,Calumet,Wisconsin,2081566.0,15973.0
55021.0,Columbia,Wisconsin,1839545.0,19145.0
55035.0,Eau Claire,Wisconsin,3807976.0,36102.0
55089.0,Ozaukee,Wisconsin,2921373.0,31244.0
55111.0,Sauk,Wisconsin,1938283.0,15873.0
55127.0,Walworth,Wisconsin,3984686.0,50191.0
55017.0,Chippewa,Wisconsin,2386100.0,28610.0
55031.0,Douglas,Wisconsin,1437862.0,14956.0
55033.0,Dunn,Wisconsin,1549478.0,9291.0
55045.0,Green,Wisconsin,1092630.0,6908.0
55055.0,Jefferson,Wisconsin,3010667.0,36120.0
55073.0,Marathon,Wisconsin,5095071.0,69433.0
55105.0,Rock,Wisconsin,5619728.0,61214.0
55109.0,St. Croix,Wisconsin,2845537.0,18090.0
55027.0,Dodge,Wisconsin,4156188.0,56722.0
55043.0,Grant,Wisconsin,1824141.0,31325.0
55049.0,Iowa,Wisconsin,664113.0,3590.0
55057.0,Juneau,Wisconsin,1024623.0,7641.0
55081.0,Monroe,Wisconsin,1456226.0,12130.0
55019.0,Clark,Wisconsin,1172576.0,20844.0
55097.0,Portage,Wisconsin,2379188.0,22200.0
55125.0,Vilas,Wisconsin,728178.0,12103.0
55051.0,Iron,Wisconsin,222992.0,11822.0
55075.0,Marinette,Wisconsin,1519341.0,21275.0
55103.0,Richland,Wisconsin,441948.0,5666.0
55135.0,Waupaca,Wisconsin,1972276.0,52989.0
55085.0,Oneida,Wisconsin,1183298.0,22288.0
55029.0,Door,Wisconsin,886903.0,9177.0
55053.0,Jackson,Wisconsin,847291.0,7785.0
55077.0,Marquette,Wisconsin,515497.0,8367.0
55003.0,Ashland,Wisconsin,415172.0,4893.0
55011.0,Buffalo,Wisconsin,434692.0,2535.0
55083.0,Oconto,Wisconsin,1638688.0,19268.0
55023.0,Crawford,Wisconsin,564886.0,5253.0
55078.0,Menominee,Wisconsin,261265.0,3312.0
55001.0,Adams,Wisconsin,601385.0,5830.0
55121.0,Trempealeau,Wisconsin,1183944.0,13001.0
55005.0,Barron,Wisconsin,1838097.0,24154.0
55107.0,Rusk,Wisconsin,435762.0,5939.0
55071.0,Manitowoc,Wisconsin,2797455.0,26477.0
55115.0,Shawano,Wisconsin,1740044.0,25630.0
